"Evaluation Overview, all Databases, Test Series LARGE"
QueryScenario,Phase,"sqlite4java","SQLite-Xerial","PostgreSQL","Virtuoso","MongoDB"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"24641.68"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"16805.41","15214.47","14442.89","16805.41"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"21710.96"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Query,"14734.88","14108.15","13740.31","14734.88"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Prepare,"4.65"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Query,"55548.73","55428.75","55351.21","55548.73"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Prepare,"6.51"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"13412.52","13354.18","13278.74","13412.52"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Prepare,"954102.82"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Query,"51.67","45.34","42.75","51.67"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Prepare,"5649.60"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Query,"126.35","115.25","110.74","126.35"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Prepare,"5842.79"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Query,"2771.60","2712.20","2673.21","2771.60"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Prepare,"4.14"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Query,"1.04"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Prepare,"12423.96"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"0.93"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"2.11"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"6.17"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"1.58"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"0.02"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"11285.34"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"72250.16"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"18220.15"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"9078.20"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"18514.16"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"1084428.50"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"8265.50"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"12623.18"

"Evaluation Details for PostgreSQL, Version PostgreSQL 9.4.4 on x86_64-apple-darwin14.3.0, compiled by Apple LLVM version 6.1.0 (clang-602.0.53) (based on LLVM 3.6.0svn), 64-bit / 9.4-1201-jdbc41, Test Series LARGE"
QueryScenario,Phase,First time,Average time,Min time,Max time
Set up,,"247.57"
Load,,"1560690.33"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Prepare,"12815.04"
