"Evaluation Overview, all Databases, Test Series MEDIUM"
QueryScenario,Phase,"sqlite4java","SQLite-Xerial","PostgreSQL","MongoDB"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Prepare,"6328.80"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Query,"838.30","839.70","838.60","838.87","838.30","839.70"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Prepare,"6177.23"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Query,"1136.18","1115.80","1084.41","1112.13","1115.80","1136.18"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Prepare,"9436.19"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Query,"5656.21","5577.21","5530.15","5587.86","5577.21","5656.21"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Prepare,"9695.52"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Query,"5786.55","5513.64","5580.60","5626.93","5513.64","5786.55"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"9649.27"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"5655.68","5536.46","5550.16","5580.76","5536.46","5655.68"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"7273.73"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Query,"4967.76","4846.15","5083.95","4965.95","4846.15","4967.76"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Prepare,"4.47"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Query,"27866.32","27506.99","27784.92","27719.41","27506.99","27866.32"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Prepare,"4.08"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"5937.04","5730.20","5778.59","5815.28","5730.20","5937.04"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Prepare,"367836.53"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Query,"27.04","24.64","24.05","25.24","24.64","27.04"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Prepare,"2284.02"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Query,"68.14","65.88","65.73","66.58","65.88","68.14"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Prepare,"2354.19"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Query,"1390.77","1400.37","1365.34","1385.49","1390.77","1400.37"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Prepare,"4.11"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Query,"0.99"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Prepare,"4678.78"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"23606.17"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"6.13"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"77057.79"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"4.08"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"17329.30"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"8249.80"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"25041.33"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"5910.08"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"2984.77"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"5132.60"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"15184.78"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"323.05"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"217.26"

"Evaluation Details for PostgreSQL, Version PostgreSQL 9.4.4 on x86_64-apple-darwin14.3.0, compiled by Apple LLVM version 6.1.0 (clang-602.0.53) (based on LLVM 3.6.0svn), 64-bit / 9.4-1201-jdbc41, Test Series MEDIUM"
QueryScenario,Phase,1st Exec,2nd Exec,3rd Exec,Average time,Min time,Max time
Set up,,"242.69"
Load,,"596258.65"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Prepare,"4146.86"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Query,"3.05","0.40","0.46","1.30","0.40","3.05"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Prepare,"3819.37"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Query,"4.69","1.08","1.16","2.31","1.08","4.69"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Prepare,"3734.02"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Query,"4.95","3.04","2.91","3.63","3.04","4.95"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Prepare,"3302.00"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Query,"1339.26","1038.67","1036.60","1138.18","1038.67","1339.26"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Prepare,"3290.99"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Query,"1327.32","1075.72","1121.94","1174.99","1075.72","1327.32"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Prepare,"3416.82"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Query,"1820.37","1520.27","1435.92","1592.18","1520.27","1820.37"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Prepare,"5484.88"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Query,"1287.32","813.11","825.87","975.43","813.11","1287.32"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Prepare,"5048.58"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Query,"1213.48","990.76","900.43","1034.89","990.76","1213.48"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"5204.96"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"1300.03","896.77","835.86","1010.88","896.77","1300.03"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"4308.43"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Query,"2236.56","1893.35","1839.98","1989.96","1893.35","2236.56"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Prepare,"2237.44"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Query,"34506.99","28414.42","24128.33","29016.58","28414.42","34506.99"
