"Evaluation Overview, all Databases, Test Series TINY"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Query,"16.03","14.98","14.50","16.03"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Prepare,"0.99"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"2.59","2.43","2.46","2.59"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Prepare,"210.97"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Query,"0.08","0.05","0.03","0.08"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Prepare,"1.60"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Query,"0.08","0.06","0.05","0.08"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Prepare,"1.52"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Query,"0.10","0.09","0.10","0.10"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Prepare,"4.22"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Query,"0.90"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Prepare,"Error"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"Error"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"Error"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"Error"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"Error"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"Error"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"0.60"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"6.49"
